ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
29	Party	white3.bmp	Bob	washed the dishes with his wife after a large family dinner	pos	c	False	5.560141	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Friend	white3.bmp	Bob	scared a woman who was walking down a dark street alone	neg	c	Correct	4.575780	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Friend	white3.bmp	Bob	smashed windows in a public building during a demonstration to protest construction of a home for the aged	neg	c	Correct	10.271597	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Kiss	white3.bmp	Bob	butted into the front of a long line at a movie theater	neg	c	Correct	3.467848	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Gift	white3.bmp	Bob	defaced a large rock with spray paint in a public park	neg	c	Correct	2.568550	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Gift	white3.bmp	Bob	cooks a nice dinner for his family	pos	u	Correct	1.425771	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Smile	white3.bmp	Bob	stole merchandise from his work	neg	c	Correct	1.456566	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Smile	white3.bmp	Bob	shot a song bird with his .22-caliber rifle	neg	c	Correct	1.957238	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Party	white3.bmp	Bob	overcharged customers who bought gas at a filling station	neg	c	Correct	3.029791	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Kitten	white3.bmp	Bob	slapped his child for spilling a glass of milk	neg	c	Correct	1.803712	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Flower	white3.bmp	Bob	went to the hospital to visit his neighbor	pos	u	Correct	1.619086	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Gift	white3.bmp	Bob	drove to Colorado to visit his parents	pos	u	Correct	1.329708	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Kiss	white3.bmp	Bob	tells those close to him that he treasures them	pos	u	Correct	2.044417	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Party	white3.bmp	Bob	derided his girlfriend in public	neg	c	Correct	3.498612	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Pretty	white3.bmp	Bob	yelled at a waitress for being too slow	neg	c	Correct	1.237751	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Kitten	white3.bmp	Bob	wrote letters and sent reading materials to convicts at the Oregon Penitentiary	pos	u	Correct	2.195791	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Flower	white3.bmp	Bob	fought against discriminatory law that made renting difficult for minorities	pos	u	Correct	7.347337	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Party	white3.bmp	Bob	donated a pint of blood to the Red Cross	pos	u	Correct	1.405170	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Gift	white3.bmp	Bob	aided his father take care of his younger sisters and brothers while his mother was in the hospital	pos	u	Correct	4.435344	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Happy	white3.bmp	Bob	spent two years as a Vista volunteer to work in the slums of Chicago as a medical aide	pos	u	Correct	2.792648	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Puppy	white3.bmp	Bob	fixed a squeaking rocking chair for a colleague in the country	pos	u	Correct	1.615902	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Flower	white3.bmp	Bob	writes his parents at least once every two weeks	pos	u	Correct	1.542448	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Puppy	white3.bmp	Bob	﻿administered first aid to a hit-and-run victim while waiting for an ambulance to arrive	pos	u	Correct	3.414025	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Pretty	white3.bmp	Bob	planted tomatoes and cucumbers in a small garden behind his house	pos	u	Correct	1.796591	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Kiss	white3.bmp	Bob	refused to sign a petition to improve playground facilities for school children	neg	c	Correct	3.043703	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Pretty	white3.bmp	Bob	drove his car down a residential street at 70 mph to impress his girlfriend	neg	c	Correct	3.440513	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Happy	white3.bmp	Bob	was detained for assaulting his wife	neg	c	Correct	1.630590	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Party	white3.bmp	Bob	played his transistor radio full blast late at night in a campground	neg	c	Correct	3.332435	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Friend	white3.bmp	Bob	is a reading specialist who volunteered to teach reading in a free school	pos	u	Correct	3.654435	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Pretty	white3.bmp	Bob	assisted a colleague move into an apartment	pos	u	Correct	1.412518	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Pretty	white3.bmp	Bob	offered to share an umbrella with a stranger during a downpour	pos	u	Correct	1.691217	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Friend	white3.bmp	Bob	assisted some neighboring campers set up their tent	pos	u	Correct	2.350652	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Gift	white3.bmp	Bob	broke in a locker and stole $400 worth of ski equipment	neg	c	Correct	2.311805	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Gift	white3.bmp	Bob	had a surprise dinner for his father's birthday	pos	u	Correct	1.715295	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Flower	white3.bmp	Bob	laughed when a child fell out of a tree	neg	c	Correct	1.957841	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Flower	white3.bmp	Bob	bought his partner a potted plant on Valentine’s Day	pos	u	Correct	3.670550	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Smile	white3.bmp	Bob	snatched a purse that an elderly woman set down on the bus	neg	c	Correct	1.755061	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Smile	white3.bmp	Bob	spent some of his salary on groceries for a disadvantaged family	pos	u	Correct	2.916010	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Smile	white3.bmp	Bob	let an older person get in front of him in a grocery checkout line	pos	u	Correct	2.246393	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Kitten	white3.bmp	Bob	spends a great deal of his time voluntarily tutoring disadvantaged students in areas of mathematics and English	pos	u	Correct	2.211037	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Kitten	white3.bmp	Bob	called the SPCA on coming across an injured animal	pos	u	Correct	3.033854	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Puppy	white3.bmp	Bob	stole clothes from the washing machines at the laundromat	neg	c	Correct	1.743745	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Kiss	white3.bmp	Bob	had someone else write a term paper for him	neg	c	Correct	2.449723	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Happy	white3.bmp	Bob	tries to give someone a ride whenever he is driving a long distance	pos	u	Correct	2.390988	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Pretty	white3.bmp	Bob	found a good watch in a park and pawned it	neg	c	Correct	3.927275	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Kitten	white3.bmp	Bob	wrote letters to his congressperson supporting equal rights for all	pos	u	Correct	3.777282	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Friend	white3.bmp	Bob	donates his time at the soup kitchen	pos	u	Correct	1.465927	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Friend	white3.bmp	Bob	threw a chair through a window at a barbecue	neg	c	Correct	1.326607	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Kiss	white3.bmp	Bob	aided an unemployed neighbor find a new job	pos	u	Correct	1.681082	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Party	white3.bmp	Bob	insulted everybody at a formal dinner	neg	c	Correct	2.365652	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Smile	white3.bmp	Bob	assisted put a new roof on his neighbor’s house	pos	u	Correct	2.030587	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Pretty	white3.bmp	Bob	refused to stop smoking even though several people in a crowded bus asked him to do so	neg	c	Correct	5.619906	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Puppy	white3.bmp	Bob	was arrested for selling heroin to a teenager	neg	c	Correct	1.403168	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Happy	white3.bmp	Bob	pulled off the highway to assist a driver whose car had stalled	pos	u	Correct	1.882308	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Puppy	white3.bmp	Bob	assisted his wife plant a large vegetable garden in the backyard	pos	u	Correct	2.382441	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Happy	white3.bmp	Bob	turned in a work assignment on time	pos	u	Correct	1.719280	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Gift	white3.bmp	Bob	assisted a wheelchair patient up a ramp	pos	u	Correct	1.306489	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Smile	white3.bmp	Bob	bought a neighborhood child a balloon at the fair	pos	u	Correct	2.730639	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Kiss	white3.bmp	Bob	pretended he did not hear a woman’s request to lift a baby carriage over a high curb	neg	c	Correct	2.564592	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
